"booktitle","bookhref","brief"
"菜根谭","https://so.gushiwen.cn/guwen/book_46653FD803893E4FB25B762406C1F882.aspx","《菜根谭》是明代还初道人洪应明收集编著的一部论述修养、人生、处世、出世的语录世集。具有三教真理的结晶，和万古不易的教人传世之道，为旷古稀世的奇珍宝训。对于人的正心修身，养性育德，有不可思议的潜移默化的力量。其文字简炼明隽，兼采雅俗。似语录，而有语录所没有的趣味；似随笔，而有随笔所不易及的整饬；似训诫，而有训诫所缺乏的亲切醒豁；且有雨余山色，夜静钟声，点染其间，其所言清霏有味，风月无边。"
"增广贤文","https://so.gushiwen.cn/guwen/book_46653FD803893E4FA3AB89EE671C56BB.aspx","《增广贤文》为中国古代儿童启蒙书目。又名《昔时贤文》、《古今贤文》。书名最早见之于明代万历年间的戏曲《牡丹亭》，据此可推知此书最迟写成于万历年间。后来，经过明、清两代文人的不断增补，才改成现在这个模样，称《增广昔时贤文》，通称《增广贤文》。作者一直未见任何书载，只知道清代同治年间儒生周希陶曾进行过重订，很可能是民间创作的结晶。"
"黄庭经","https://so.gushiwen.cn/guwen/book_46653FD803893E4F1EF9291CF0EA343D.aspx","《黄庭经》，又名《老子黄庭经》，道教养生修仙专著；内容包括《黄庭外景玉经》和《黄庭内景玉经》；两晋年间，新增《中景经》。由天师道魏华存自创门户而普传于世。"
"文心雕龙","https://so.gushiwen.cn/guwen/book_46653FD803893E4FE4E492AA7B4A526C.aspx","《文心雕龙》是中国南朝文学理论家刘勰（xié）创作的一部理论系统、结构严密、论述细致的文学理论专著，成书于公元501～502年（南朝齐和帝中兴元、二年）间。它是中国文学理论批评史上第一部有严密体系的、“体大而虑周”（章学诚《文史通义·诗话篇》）的文学理论专著。全书共10卷，50篇（原分上、下部，各25篇），以孔子美学思想为基础，兼采道家，认为道是文学的本源，圣人是文人学习的楷模，“经书”是文章的典范。把作家创作个性的形成归结为“才”、“气”、“学”、“习”四个方面。"
"荀子","https://so.gushiwen.cn/guwen/book_46653FD803893E4F2B41025A041B0688.aspx","《荀子》是战国末年著名唯物主义思想家荀况的著作。该书旨在总结当时学术界的百家争鸣和自己的学术思想，反映唯物主义自然观、认识论思想以及荀况的伦理、政治和经济思想。"
"素书","https://so.gushiwen.cn/guwen/book_46653FD803893E4F2640394B4F357F03.aspx","《素书》相传为秦末黄石公作。民间视为奇书、天书。《素书》以道家思想为宗旨，集儒、法、兵的思想发挥道的作用及功能，同时以道、德、仁、义、礼为立身治国的根本、揆度宇宙万物自然运化的理数，以此认识事物，对应事物、处理事物的智能之作。传说黄石公三试张良，而后把此书授予张良。张良凭借此书，助刘邦定江山。"
"列子","https://so.gushiwen.cn/guwen/book_46653FD803893E4FEC967FA5CC60AB13.aspx","列子，战国前期思想家，是老子和庄子之外的又一位道家思想代表人物，与郑缪公同时。其学本于黄帝老子，主张清静无为。后汉班固《艺文志》“道家”部分录有《列子》八卷。《列子》又名《冲虚经》，（于前450至前375年所撰）是道家重要典籍。 汉书《艺文志》著录《列子》八卷，早佚。今本《列子》八卷，从思想内容和语言使用上看，可能是后人根据古代资料编著的。全书共载民间故事寓言、神话传说等134则，是东晋人张湛所辑录增补的，题材广泛，有些颇富教育意义。"
"格言联璧","https://so.gushiwen.cn/guwen/book_46653FD803893E4FFAEE242B89B2EBE1.aspx","《格言联璧》一书是集先贤警策身心之语句，垂后人之良范，条分缕晰，情给理明。全书主要内容包括学问类、存养类、持躬类、摄生（附）、敦品类、处事类、接物类、齐家类、从政类、惠吉类、悖凶类。所谓是成己成人之宝筏，希圣希贤之阶梯也。"
"孙膑兵法","https://so.gushiwen.cn/guwen/book_46653FD803893E4FB66BB352A3FCC20D.aspx","《孙膑兵法》是中国古代的著名兵书，也是《孙子兵法》后“孙子学派”的又一力作。《孙膑兵法》古称《齐孙子》，作者为孙膑，传说他是孙武的后代，在战国时期生于齐国阿、鄄之间（今山东阳谷、鄄城一带），曾和庞涓一块儿学习兵法。"
"了凡四训","https://so.gushiwen.cn/guwen/book_46653FD803893E4FBE5E1A4F0956C6F3.aspx","《了凡四训》，种德立命、修身治世类教育书籍。作者为明代袁黄，字坤仪，后改名了凡，作于六十九岁，全文分四个部分。作者以自己的亲身经历，讲述了改变命运的过程。原本为教训自己的儿子，故取名《训子文》；后为启迪世人，遂改今名。"
"颜氏家训","https://so.gushiwen.cn/guwen/book_46653FD803893E4F747DEDF170F07EF7.aspx","南北朝时期记述个人经历、思想、学识以告诫子孙的著作。颜之推编。七卷，共二十篇。颜之推（531年～591以后），字介。颜氏原籍琅邪临沂（今山东临沂北），先世随东晋渡江，寓居建康。侯景之乱，梁元帝萧绎自立于江陵，之推任散骑侍郎。承圣三年（554），西魏破江陵，之推被俘西去。他为回江南，乘黄河水涨，从弘农（今河南三门峡西南）偷渡，经砥柱之险，先逃奔北齐。但南方陈朝代替了梁朝，之推南归之愿未遂，即留居北齐，官至黄门侍郎。577年齐亡入周。隋代周后，又仕于隋。家训一书在隋灭陈（589）以后完成。"
"醒世恒言","https://so.gushiwen.cn/guwen/book_46653FD803893E4FE240D34FC06DA35E.aspx","《醒世恒言》，白话短篇笔记集。明末冯梦龙纂辑。始刊于1627年（明天启七年）。其题材或来自民间事实，或来自史传和唐、宋故事。除少数宋元旧作外，绝大多数是明人作品，部分是冯氏拟作。形象鲜明，结构充实完整，描写细腻，不同程度反映了当时的社会面貌和市民思想感情。但有些作品带有封建说教、因果报应宣传和色情渲染。《醒世恒言》同作者之前刊行的《喻世明言》、《警世通言》一起，合称《三言》，是最重要的中国古代白话短篇笔记集之一。通常亦与凌濛初的《初刻拍案惊奇》、《二刻拍案惊奇》并称，称为“三言二拍”。"
"史记","https://so.gushiwen.cn/guwen/book_46653FD803893E4F9B29D6AEC1BFD4EA.aspx","《史记》是由司马迁撰写的中国第一部纪传体通史。记载了上自上古传说中的黄帝时代，下至汉武帝元狩元年间共3000多年的历史（哲学、政治、经济、军事等）。《史记》最初没有固定书名，或称“太史公书”，或称“太史公传”，也省称“太史公”。“史记”本是古代史书通称，从三国时期开始，“史记”由史书的通称逐渐成为“太史公书”的专称。《史记》与后来的《汉书》（班固）、《后汉书》（范晔、司马彪）、《三国志》（陈寿）合称“前四史”。刘向等人认为此书“善序事理，辩而不华，质而不俚”。与司马光的《资治通鉴》并称“史学双璧”。"
"老子","https://so.gushiwen.cn/guwen/book_46653FD803893E4F33D126D4A6B656E2.aspx","《老子》，又称《道德真经》《道德经》《五千言》《老子五千文》，是中国古代先秦诸子分家前的一部著作，为其时诸子所共仰，传说是春秋时期的老子李耳（似是作者、注释者、传抄者的集合体）所撰写，是道家哲学思想的重要来源。道德经分上下两篇，原文上篇《德经》、下篇《道经》，不分章，后改为《道经》37章在前，从38章开始为《德经》，并分为81章。是中国历史上首部完整的哲学著作。"
"三十六计","https://so.gushiwen.cn/guwen/book_46653FD803893E4F5BEE801AE7C631E7.aspx","《三十六计》或称“三十六策”，是指中国古代三十六个兵法策略，语源于南北朝，成书于明清。它是根据我国古代卓越的军事思想和丰富的斗争经验总结而成的兵书，是中华民族悠久文化遗产之一。"
"三字经","https://so.gushiwen.cn/guwen/book_46653FD803893E4F83AEEAFA815D161D.aspx","《三字经》，是中国的传统启蒙教材。在中国古代经典当中，《三字经》是最浅显易懂的读本之一。《三字经》取材典范，包括中国传统文化的文学、历史、哲学、天文地理、人伦义理、忠孝节义等等，而核心思想又包括了“仁，义，诚，敬，孝。”背诵《三字经》的同时，就了解了常识、传统国学及历史故事，以及故事内涵中的做人做事道理。"
"战国策","https://so.gushiwen.cn/guwen/book_46653FD803893E4F90B30EC6FDD22553.aspx","《战国策》（Intrigues of the Warring States），是一部国别体史书。主要记述了战国时期的纵横家的政治主张和策略，展示了战国时代的历史特点和社会风貌，是研究战国历史的重要典籍。作者并非一人，成书并非一时，书中文章作者大多不知是谁。西汉末刘向编定为三十三篇，书名亦为刘向所拟定。宋时已有缺失，由曾巩作了订补。有东汉高诱注，今残缺。宋鲍彪改变原书次序，作新注。吴师道作《校注》，近代人金正炜有《补释》，今人缪文远有《战国策新注》。"
"楞严经","https://so.gushiwen.cn/guwen/book_46653FD803893E4F5ECF9763ACD29F53.aspx","《楞严经》是佛教的一部极为重要的经典。唐般剌密谛译，10卷。在《法灭尽经》上说：末法时代，《楞严经》先灭，其余的经典跟着就灭了。如楞严经不灭，正法时代就现前。楞严经包括：序分、三番破识、十番显见、剖妄出真、会通四科、圆彰七大、审除细惑、从根解结、二十五圣圆通章、四种清净明诲、楞严神咒、十二类生、历位修证、七趣、五十阴魔。"
"太玄经","https://so.gushiwen.cn/guwen/book_46653FD803893E4F46D08EEAAEC58369.aspx","《太玄经》，汉扬雄撰，也称《扬子太玄经》，简称《太玄》、《玄经》。扬雄撰《太玄》，将源于老子之道的玄作为最高范畴，并在构筑宇宙生成图式、探索事物发展规律时以玄为中心思想，是汉朝道家思想的继承和发展。《四库全书》为避康熙皇帝玄烨之名讳，改为《太元经》。"
"四圣心源","https://so.gushiwen.cn/guwen/book_46653FD803893E4FC3EDD70750ECDB52.aspx","《四圣心源》是清·黄元御撰写于1753年的医书，又名《医圣心源》。作者将黄帝、岐伯、秦越人、张仲景视为医中四圣。本书阐发《内经》、《难经》、《伤寒论》、《金匮要略》诸书蕴义，卷一天人解；卷二六气解；卷三脉法解；卷四劳伤解；卷五至卷七杂病解；卷八七窍解；卷九疮疡解；卷十妇人解。是一部包括中医基本理论和部分临床医学的综合性著作。"
"弟子规","https://so.gushiwen.cn/guwen/book_46653FD803893E4F088209208FE1AA63.aspx","《弟子规》原名《训蒙文》，原作者李毓秀是清朝康熙年间的秀才。《弟子规》根据《论语》等经典编写而成，集孔孟等圣贤的道德教育之大成，提传统道德教育著作之纲领，是接受伦理道德教育的、养成有德有才之人的最佳读物。"
"孟子","https://so.gushiwen.cn/guwen/book_46653FD803893E4F594CDFAF65570422.aspx","《孟子》是中国儒家典籍中的一部，记录了战国时期思想家孟子的治国思想和政治策略，是孟子和他的弟子记录并整理而成的。《孟子》在儒家典籍中占有很重要的地位，为“四书”之一。"
"三国志","https://so.gushiwen.cn/guwen/book_46653FD803893E4F3532262CAB27766B.aspx","《三国志》是由西晋陈寿所著，记载中国三国时代历史的断代史，同时也是二十四史中评价最高的“前四史”之一。三国志最早以《魏志》、《蜀志》、《吴志》三书单独流传，直到北宋咸平六年（1003年）三书已合为一书。"
"朱子家训","https://so.gushiwen.cn/guwen/book_46653FD803893E4F71B33F5FC426CDDD.aspx","《朱子家训》又名《朱子治家格言》、《朱柏庐治家格言》，是以家庭道德为主的启蒙教材。《朱子家训》仅524字，精辟地阐明了修身治家之道，是一篇家教名著。其中，许多内容继承了中国传统文化的优秀特点，比如尊敬师长，勤俭持家，邻里和睦等，在今天仍然有现实意义。"
"徐霞客游记","https://so.gushiwen.cn/guwen/book_46653FD803893E4F38AE66E44517863C.aspx","《徐霞客游记》是以日记体为主的地理著作，明末地理学家徐弘祖（一作宏祖，号霞客）经34年旅行，写有天台山、雁荡山、黄山、庐山等名山游记17篇和《浙游日记》、《江右游日记》、《楚游日记》、《粤西游日记》、《黔游日记》、《滇游日记》等著作，除佚散者外，遗有60余万字游记资料，死后由他人整理成《徐霞客游记》。世传本有10卷、12卷、20卷等数种，主要按日记述作者1613～1639年间旅行观察所得，对地理、水文、地质、植物等现象，均作详细记录，在地理学和文学上卓有重要的价值。"
"宋史","https://so.gushiwen.cn/guwen/book_46653FD803893E4F9A0BB83A4BD52A7D.aspx","《宋史》是二十四史之一，收录于《四库全书》史部正史类。于元末至正三年（1343年）由丞相脱脱和阿鲁图先后主持修撰，《宋史》与《辽史》、《金史》同时修撰。《宋史》全书有本纪47卷，志162卷，表32卷，列传255卷，共计496卷，约500万字，是二十四史中篇幅最庞大的一部官修史书。"
"陶庵梦忆","https://so.gushiwen.cn/guwen/book_46653FD803893E4F347A3F975CAB07B4.aspx","《陶庵梦忆》，明代散文集。为明朝散文家张岱所著。该书共八卷，成书于甲申明亡（1644年）之后，直至乾隆四十年（1775年）才初版行世。其中所记大多是作者亲身经历过的杂事，将种种世相展现在人们面前。"
"东周列国志","https://so.gushiwen.cn/guwen/book_46653FD803893E4FE5BFBFDC9DCE3270.aspx","《东周列国志》是中国古代的一部历史演义小说，作者是明末小说家冯梦龙。这部小说由古白话写成，主要描写了从西周宣王时期直到秦始皇统一六国这五百多年的历史。早在元代就有一些有关“列国”故事的白话本，明代嘉靖、隆庆时期，余邵鱼撰辑了一部《列国志传》，明末冯梦龙依据史传对《列国志传》加以修改订正，润色加工，成为一百零八回的《新列国志》。清代乾隆年间，蔡元放对此书又作了修改，定名为《东周列国志》。"
"旧五代史","https://so.gushiwen.cn/guwen/book_46653FD803893E4F8DDB3B71F1969E27.aspx","《旧五代史》，原名《五代史》，也称《梁唐晋汉周书》，是由宋太祖诏令编纂的官修史书。薛居正监修，卢多逊、扈蒙、张澹、刘兼、李穆、李九龄等同修。从公元907年朱温代唐称帝到公元960年北宋王朝建立，中原地区相继出现后梁、后唐、后晋、后汉、后周等五代王朝，中原以外存在过吴、南唐、吴越、楚、闽、南汉、前蜀、后蜀、南平、北汉等十个小国，周边地区还有契丹、吐蕃、渤海、党项、南诏、于阗、东丹等少数民族建立的政权，习惯上称之为“五代十国”。《旧五代史》记载的就是这段历史。"
"六韬","https://so.gushiwen.cn/guwen/book_46653FD803893E4FC5B107509595B915.aspx","《六韬》又称《太公六韬》、《太公兵法》，是中国古代的一部著名的道家兵书。中国汉族古典军事文化遗产的重要组成部分，其内容博大精深，思想精邃富赡，逻辑缜密严谨，是古代汉族军事思想精华的集中体现。全书有六卷，共六十篇。《六韬》的内容十分广泛，对有关战争和各方面问题，几乎都涉及到了。其中最精彩的部分是它的战略论和战术论。"
"汉书","https://so.gushiwen.cn/guwen/book_46653FD803893E4FBB05575E585A40F3.aspx","《汉书》，又称《前汉书》，由我国东汉时期的历史学家班固编撰，是中国第一部纪传体断代史，“二十四史”之一。《汉书》是继《史记》之后我国古代又一部重要史书，与《史记》、《后汉书》、《三国志》并称为“前四史”。 《汉书》全书主要记述了上起西汉的汉高祖元年（公元前206年），下至新朝的王莽地皇四年（公元23年），共230年的史事。《汉书》包括纪十二篇，表八篇，志十篇，传七十篇，共一百篇，后人划分为一百二十卷，共八十万字。"
"兵法二十四篇","https://so.gushiwen.cn/guwen/book_46653FD803893E4FE61349E5927155D6.aspx","《兵法二十四篇》是重要的蜀汉军事著作之一。原有二十四篇，但现在其中的八务、七戒、六恐、五惧之法现已失传。据说为三国时期蜀汉名相诸葛亮晚年时所著，上面记载了诸葛亮几十年来行军打仗，治国安邦的经验。在五丈原之战中，诸葛亮在死前曾将此书和造用“连弩”之法等毕生所学传授给了姜维，使姜维成为了诸葛亮最有力的继承人。"
"武经总要","https://so.gushiwen.cn/guwen/book_46653FD803893E4FADD0DFDE75D0BE6C.aspx","《武经总要》是北宋官修的一部军事著作，作者为宋仁宗时的文臣曾公亮和丁度。两人奉皇帝之命用了五年的时间编成。该书是中国第一部规模宏大的官修综合性军事著作，对于研究宋朝以前的军事思想非常重要。其中大篇幅介绍了武器的制造，对古代中国军事史、科学技术史的研究也很重要。"
"扁鹊心书","https://so.gushiwen.cn/guwen/book_46653FD803893E4FA048A9F913B1CF83.aspx","宋代窦材编撰于绍兴十六年（1146年）。托名扁鹊所传，故名。此书以重视经络和针灸疗法为特点。卷上介绍“黄帝灸法”“扁鹊灸法”及窦材灸法，在治法上比较强调扶阳，禁用寒凉之剂。卷中论及伤寒、阴毒、劳复、喉痹、虚劳、中风等100余种外感、内伤及临床各科杂病。卷下除续载部分病症外，“扁鹊神方”收有94方，分别介绍了其主治和服用法。其中相当数量的方剂不见于宋以前的医籍，并保留有我国较早的麻醉方剂—睡圣散，颇具参考价值。"
"长生殿","https://so.gushiwen.cn/guwen/book_46653FD803893E4FEFEF6F9A795666CE.aspx","《长生殿》是清初剧作家洪昇创作的传奇（戏剧），共二卷。该剧定稿于康熙二十七年（1688年）。《长生殿》重点描写了唐朝天宝年间皇帝昏庸、政治腐败给国家带来的巨大灾难，导致王朝几乎覆灭。剧本虽然谴责了唐明皇的穷奢极侈，但同时又表现了对唐明皇和杨贵妃之间的爱情的同情，间接表达了对明朝统治的同情，还寄托了对美好爱情的理想。"
"呻吟语","https://so.gushiwen.cn/guwen/book_46653FD803893E4FA86226B0733A7F1D.aspx","《呻吟语》是明代晚期著名学者吕坤（1536—1618）所著的语录体、箴言体的小品文集，刊刻于1593（明万历二十一年），时吕坤在山西太原任巡抚。 《呻吟语》是吕坤积三十年心血写成的著述。全书共分六卷，前三卷为内篇；后三卷为外篇，一共有大约数百则含意深刻、富有哲理的语录笔记。"
"初刻拍案惊奇","https://so.gushiwen.cn/guwen/book_46653FD803893E4F074C7B2F635A29B0.aspx","《初刻拍案惊奇》是明朝末年凌濛初编著的拟话本小说集。正式成书于1627年（明天启七年），尚友堂书坊于翌年1628年刊行。《初刻拍案惊奇》是模仿话本小说而创造的小说集，其题材大多取自前人。书的内容比较繁杂，思想倾向前后不尽相同，主要有描写商人思想行径、命运遭际的作品和描写婚恋的作品。其多出自前代著述，但经过凌濛初的再创作，也一定程度表现出晚明社会现实与时代气息，浸含着凌氏本人的思想观念和愤世不平之气。常与《二刻拍案惊奇》并称二拍，加上冯梦龙的“三言”，则为“三言二拍”，在中国文学史上有较重要的影响。"
"梦溪笔谈","https://so.gushiwen.cn/guwen/book_46653FD803893E4FB5EAB8586E1B9605.aspx","《梦溪笔谈》是北宋科学家沈括所著的笔记体著作。大约成书于1086年－1093年，收录了沈括一生的所见所闻和见解。被西方学者称为中国古代的百科全书，已有多种外语译本。"
"幼学琼林","https://so.gushiwen.cn/guwen/book_46653FD803893E4F5F4E32BFAECF1C90.aspx","《幼学琼林》是中国古代儿童的启蒙读物，作者程允升。《幼学琼林》初为明代西昌人程登吉（字允升）编著，本名《幼学须知》，又称《成语考》、《故事寻源》，清人邹圣脉作了增补，改名为《幼学琼林》，也叫《幼学故事琼林》。 内容以介绍综合知识为主，天文地理、家庭饮食、花鸟兽木等无所不包，被誉为中国古代的百科全书。文字形式上，不拘泥于四言，灵活运用杂言，只注重两两相对，不强求整齐押韵。编排上以内容分类，分别介绍各类常用词、成语及掌故。其中有些词和成语的解释我们至今仍在使用。"
"笑林广记","https://so.gushiwen.cn/guwen/book_46653FD803893E4F538BA496312F6884.aspx","中国有笑话书的历史由来已久，但集大成者可说非《笑林广记》莫属。此书作者「游戏主人」编成，游戏主人并不是指一个人而是清代的一批文人一起编写而成的《笑林广记》可算是严格意义上的笑话集，语言风趣，文字简练隽秀，表现手法也十分成熟。"
"淮南子","https://so.gushiwen.cn/guwen/book_46653FD803893E4F0A67CCCD1BEF2DEF.aspx","《淮南子》又名《淮南鸿烈》、《刘安子》，是我国西汉时期创作的一部论文集，由西汉皇族淮南王刘安主持撰写，故而得名。该书在继承先秦道家思想的基础上，综合了诸子百家学说中的精华部分，对后世研究秦汉时期文化起到了不可替代的作用。"
"智囊(选录)","https://so.gushiwen.cn/guwen/book_46653FD803893E4F46730F501B34AB5C.aspx","《智囊全集》初编于明代天启六年（1626年），全书共收上起先秦、下迄明代的历代智囊故事1200余则，是一部中国人民智慧的创造史和实践史。书中所表现的人物，都在运用智慧和谋略创造历史。它既是一部反映古人巧妙运用聪明才智来排忧解难、克敌制胜的处世奇书，也是中国文化史上一部篇幅庞大的智谋锦囊。"
"传习录","https://so.gushiwen.cn/guwen/book_46653FD803893E4F6E121B9E36DF2AAE.aspx","《传习录》，哲学著作，作者是中国明代哲学家、宋明理学中心学一派的代表人物王守仁（字伯安），世称阳明先生。此书记载了他的语录和论学书信。传习一词源出自《论语》中的传不习乎一语。"
"论衡","https://so.gushiwen.cn/guwen/book_46653FD803893E4FAFE98ACAE45CC5F4.aspx","《论衡》一书为东汉王充（27-97年）所作，大约作成于汉章帝元和三年（86年）。《论衡》是王充的代表作品，也是中国历史上一部不朽的无神论著作。现存文章有85篇（其中的《招致》仅存篇目，实存84篇）。该书被称为“疾虚妄古之实论，讥世俗汉之异书。”"
"旧唐书","https://so.gushiwen.cn/guwen/book_46653FD803893E4F6B8334C11A846E81.aspx","《旧唐书》共200卷，包括《本纪》20卷、《志》30卷、《列传》150卷，原名《唐书》，宋祁、欧阳修等所编著《新唐书》问世后，才改称《旧唐书》，成书于后晋开运二年（945年）。"
"四十二章经","https://so.gushiwen.cn/guwen/book_46653FD803893E4F021C680B59B4FA8C.aspx","《佛说四十二章经》，简称《四十二章经》，佛教著作，据说是东汉迦叶摩腾、竺法兰汉译，一般认为是古代中国译出的第一部佛教经典。内容是把佛所说的某一段话称为一章，共选了四十二段话所编集而成。收在《大正藏》第十七册。《四十二章经》论其胜义，盖有四端：一、辞最简驯，二、义最精富，三、胪者古真，四、传最平易。用以上四重以观察于佛，则佛之全体大用明。"
"夜航船","https://so.gushiwen.cn/guwen/book_46653FD803893E4FB14C036F4278F37A.aspx","《夜航船》是明末清初文学家、史学家张岱所著的百科类图书。该书讲述了从三教九流到神仙鬼怪，从政治人事到典章沿革等二十大类125个小类的学科知识。"
"吴子","https://so.gushiwen.cn/guwen/book_46653FD803893E4F01AE666A034072DA.aspx","《吴子兵法》，中国古代著名兵书，《武经七书》之一。相传战国初期吴起所著，战国末年即已流传。《吴子》继承和发展了《孙子兵法》的有关思想，在历史上曾与《孙子》齐名，并称为“孙吴兵法”，因而为历代兵家所重视。"
"随园诗话","https://so.gushiwen.cn/guwen/book_46653FD803893E4F561F2AAF5323BF79.aspx","《随园诗话》，清代袁枚的诗歌美学和诗歌理论著作。是一部有为之作，有其很强的针对性。本书所论及的，从诗人的先天资质，到后天的品德修养、读书学习及社会实践；从写景、言情，到咏物、咏史；从立意构思，到谋篇炼句；从辞采、韵律，到比兴、寄托、自然、空灵、曲折等各种表现手法和艺术风格，以及诗的修改、诗的鉴赏、诗的编选，乃至诗话的撰写，凡是与诗相关的方方面面，可谓无所不包了。"
"西厢记","https://so.gushiwen.cn/guwen/book_46653FD803893E4FF6737D1653FDF184.aspx","《崔莺莺待月西厢记》（简称《西厢记》，又称《王西厢》、《北西厢》）是元代王实甫创作杂剧，大约写于元贞、大德年间（1295~1307年）。全剧叙写了书生张生（张君瑞）与相国小姐崔莺莺在仕女红娘的帮助下，冲破孙飞虎、崔母、郑恒等人的重重阻挠，终成眷属的故事。全剧体制宏伟，用了五本二十一折连演一个完整的故事，这在古代杂剧中是罕见的。该剧情节引人入胜，形象鲜明生动，文采斐然，极具诗情画意。"
"周易","https://so.gushiwen.cn/guwen/book_46653FD803893E4FEF4D62C268035B68.aspx","《周易》即《易经》，《三易》之一（另有观点：认为易经即三易，而非周易），是传统经典之一，相传系周文王姬昌所作，内容包括《经》和《传》两个部分。《经》主要是六十四卦和三百八十四爻，卦和爻各有说明（卦辞、爻辞），作为占卜之用。《周易》没有提出阴阳与太极等概念，讲阴阳与太极的是被道家与阴阳家所影响的《易传》。《传》包含解释卦辞和爻辞的七种文辞共十篇，统称《十翼》，相传为孔子所撰。《周易》是中国传统思想文化中自然哲学与人文实践的理论根源，是古代汉民族思想、智慧的结晶，被誉为“大道之源”。内容极其丰富，对中国几千年来的政治、经济、文化等各个领域都产生了极其深刻的影响。《易经》为群经之首，设教之书。"
